question,gemma3_answer
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, loluphi uhlobo lomntu olunokudaniseka xa lusiya kwindawo angayaziyo?",2
Yeyiphi kwezi zilandelayo engeyongcebiso enokucetyisa kubakhenkethi abandwendwela amazwe asaphuhlayo okokuqala?,4
Yeyiphi kwezi zilandelayo engakhankanywanga njengento ekufuneka uchithe kakhulu kuyo xa uziqhelanisa nelizwe eslisaphuhlayo?,1
"Yeyiphi kwezi nketho zilandelayo inokuba ngcono kumnini wepolisi ofuna ikopi kwi inanethi , kodwa engafikeleli kwi intanethi?",3
"Nokwesicatshulwa, yeyiphi kwezi zilandelayo engadingi ukuba iboniswe kwipolisi?",1
"Ngokwesicatshulwa, ngowuphi umlinganiselo wento engeyiyo obonisa ifomethi yefilm esetyenziswa kakhulu?",4
Yeyiphi kwezi fomethi zilandelayo zefilm ezinike umfanekiso ocacileyo ofana neDSLR?,1
"Ngokwesicatshulwa, yeyiphi kwezi eya kuba lunyathelo lokugqibela ekuqaleni ishishini lokubhala ngohambo?",3
"Xa uqala ishishino lokubhala ngohambo, zeziphi kwezi zakhono zilandelayo ekufuneka ziphuhliswe kuqala?",1
Iingxaki zamathumbu ziixhaphake koluphi uhlobo lwemozulu?,3
"Ngokwesicatshulwa, ukuba phandle ekubandeni rhoqo kunokukhokelela ekuxhathiselweni kwantoni?",1
Yeyiphi kwezi zilandelayo eyinzuzo yokuhamba kwiSchengen zone?,2
Yintoni engasayi kufumaneka engcwabeni likaTutankhamun?,1
"Ngokwesicatshulwa, yeyiphi indawo endwendwelwayo eVencouver eya kuba yeyona inomtsalane umncinci kumhambi ojonga amaxabiso? ",3
"Ngokwesicatshulwa, yeyiphi indawo ekuyiwa kuyo enokunika abahambi amava okwenene eVencouver?",1
"Ngokwesicatshulwa, uhamba kufuneka azindwendwele nini Iingxangxasi ukuba bafuna ukungasithwa?",4
"Ngokwesicatshulwa, yintoni elungileyo ngokundwendwela Ingxangxasi zeVictoria phakathi kwenyanga yeNkanga nenyanga yeNkwindla?",3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engacetyiswayo xa usebenzisa idrone ukuba uthathe ividiyo?",1
"Ngokwesicatshulwa, zeziphi ezona ndawo zilungileyo ukuba uthathe ividiyo ngedrone?",4
"Ngokusekelwe kwisicatshulwa, yeyiphi ingxelo ngokuphathelene nemfuno yokubhalisa kwenkqubo yevisa engeyiyo inyani?",2
Yeyiphi kwezi zilandelayo engeyiyo indawo umkenkethi anokuya kuyo ukuba iphathe ukubhalisa kwakhe?,4
Ngubani ongena kuzuza ngokuvolontiya ngelixa ehamba?,3
"Ngokwesicatshulwa, ukuvolontiya kungaba luncedo njani kumhambi kuhlahlo lwabiwo mali?",4
"Ngokwesicatshulwa, yintoni enokuthi ithathwe njengohambo oluqhelekileyo oluya eWalt Disney World?",1
Zeziphi iingxelo kwezi zilandelayo ngeWalt Disney World ezingeyiyo inyani?,1
"Ngokwesicatshulwa, yeyiphi kule miba ilandelayo engenokubandakanywa eklasini yoqeqesho yobungcali okanye kwiimpapasho?",1
Zeziphi kwezi zifundo zilandelayo ezinokubandakanywa eklasini yoqeqesho yobungcali?,1
"Ngokwesicatshulwa, yeyiphi eyona ndlela ilungileyo yokuthintela amanzi angcolisekileyo?",1
"Ngokwesicatshulwa, yintoni enophantse ingakwazi ukwenzeka nakubantu abanobuchule bokuqubha?",3
Kufuneka wenze ntoni ukuba ubanjwe ngumsinga?,4
"Ngokwesicatshulwa, yeyiphi indawo apho ukundwendwela inqaba inokuba luhambo lweholide olixabisekileyo?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engayi kuba yingcebiso ecetyiswayo kubafazi abahamba kule ndawo?",2
"Ngokusekelwe kwindawo echazwe kwisicatshulwa, iya kuba yintoni ingcebiso eluncedo kubahambi abangabafazi?",1
"Ngokusekelwe kwisicatshulwa, yeyiphi imeko enokufuna ukuba umfoti wezilwanyana zasendle asebenzise ilensi ekhethekileyo?",1
Yeyiphi kwezi zilandelayo engakhankanywanga kwisicatshuwa njengomceli mngeni onokwenzeka kubafoti bezilwanyana zasendle?,2
Yeyiphi kwezi zilandelayo enokubangela ezona ngxaki zincinci kumqhubi ohamba kwiindlela zentaba?,4
Yintoni enokuhlala ingaguquki ngerhafu yengeniso kumazwe awohlukeneyo?,4
"Ngokwesicatshulwa, ukuba usebenza phesheya kolwandle kodwa uhlala kwenye indawo, uya kufuneka uyifake phi irhafu yakho yengeniso?",1
Zeziphi iingxelo kwezi zilandelayo ezingachazi ngokuchanekileyo Umboniso Jikelele?,4
Yeyiphi kwezi zilandelayo engumgaqo woMboniso Jikelele okanye woMboniso wamazwe ngamazwe?,1
Ukwenza eziphi kwezi zilandelayo kunokunciphisa amathuba okuhlaselwa sisilwanyana?,3
Zeziphi kwezi zilandelayo ezingakhankanywanga kwisicatshulwa njengonobangela wohlaselo lwezilwanyana zasendle?,3
